exe; width; height; time3; time5; flops3; flops5
bin/optimized; 1000; 1000; 4.607000e-03; 5.554000e-03; 1.952248e+09; 4.488673e+09
bin/optimized; 1000; 1000; 5.927000e-03; 6.984000e-03; 1.517463e+09; 3.569601e+09
bin/optimized; 1000; 1000; 5.416000e-03; 6.270000e-03; 1.660636e+09; 3.976091e+09
bin/optimized; 1000; 1000; 4.988000e-03; 6.959000e-03; 1.803129e+09; 3.582424e+09
bin/optimized; 1000; 1000; 4.825000e-03; 6.025000e-03; 1.864042e+09; 4.137775e+09
bin/optimized; 1000; 1000; 5.084000e-03; 6.854000e-03; 1.769080e+09; 3.637306e+09
bin/optimized; 1000; 1000; 4.819000e-03; 6.053000e-03; 1.866363e+09; 4.118634e+09
bin/optimized; 1000; 1000; 4.920000e-03; 6.408000e-03; 1.828050e+09; 3.890464e+09
bin/optimized; 1000; 1000; 5.086000e-03; 7.179000e-03; 1.768385e+09; 3.472641e+09
bin/optimized; 10000; 10000; 2.064950e-01; 4.019500e-01; 4.358169e+09; 6.217938e+09
bin/optimized; 10000; 10000; 2.065690e-01; 4.441120e-01; 4.356607e+09; 5.627635e+09
bin/optimized; 10000; 10000; 2.089190e-01; 4.050500e-01; 4.307602e+09; 6.170350e+09
bin/optimized; 10000; 10000; 2.081940e-01; 3.909240e-01; 4.322603e+09; 6.393315e+09
bin/optimized; 10000; 10000; 2.072890e-01; 4.002640e-01; 4.341475e+09; 6.244129e+09
bin/optimized; 10000; 10000; 2.119320e-01; 4.178550e-01; 4.246362e+09; 5.981262e+09
bin/optimized; 10000; 10000; 2.064130e-01; 3.920430e-01; 4.359900e+09; 6.375066e+09
bin/optimized; 10000; 10000; 2.097230e-01; 4.494890e-01; 4.291089e+09; 5.560314e+09
bin/optimized; 10000; 10000; 2.091300e-01; 4.143580e-01; 4.303256e+09; 6.031741e+09
bin/optimized; 10000; 10000; 2.069270e-01; 4.046450e-01; 4.349070e+09; 6.176525e+09
bin/optimized; 10000; 10000; 2.071940e-01; 4.117970e-01; 4.343466e+09; 6.069253e+09
bin/optimized; 10000; 10000; 2.086390e-01; 4.051030e-01; 4.313383e+09; 6.169542e+09
bin/optimized; 10000; 10000; 2.057660e-01; 4.023380e-01; 4.373609e+09; 6.211941e+09
bin/cuda; 1000; 1000; 7.228000e-03; 1.340400e-02; 1.244328e+09; 1.859899e+09
bin/cuda; 1000; 1000; 7.193000e-03; 1.056100e-02; 1.250383e+09; 2.360581e+09
bin/cuda; 1000; 1000; 5.579000e-03; 9.497000e-03; 1.612118e+09; 2.625049e+09
bin/cuda; 1000; 1000; 6.172000e-03; 9.836000e-03; 1.457227e+09; 2.534576e+09
bin/cuda; 1000; 1000; 5.326000e-03; 9.807000e-03; 1.688698e+09; 2.542071e+09
bin/cuda; 1000; 1000; 5.296000e-03; 1.074500e-02; 1.698264e+09; 2.320157e+09
bin/cuda; 1000; 1000; 5.301000e-03; 9.777000e-03; 1.696662e+09; 2.549871e+09
bin/cuda; 1000; 1000; 5.266000e-03; 1.091400e-02; 1.707939e+09; 2.284231e+09
bin/cuda; 1000; 1000; 5.288000e-03; 9.774000e-03; 1.700833e+09; 2.550654e+09
bin/cuda; 1000; 1000; 5.249000e-03; 9.784000e-03; 1.713470e+09; 2.548047e+09
bin/cuda; 1000; 1000; 5.247000e-03; 9.745000e-03; 1.714123e+09; 2.558244e+09
bin/cuda; 1000; 1000; 5.244000e-03; 9.844000e-03; 1.715104e+09; 2.532516e+09
bin/cuda; 1000; 1000; 5.261000e-03; 9.743000e-03; 1.709562e+09; 2.558770e+09
bin/cuda; 1000; 1000; 5.228000e-03; 9.725000e-03; 1.720353e+09; 2.563506e+09
bin/cuda; 1000; 1000; 5.229000e-03; 9.733000e-03; 1.720024e+09; 2.561399e+09
bin/cuda; 1000; 1000; 5.218000e-03; 9.709000e-03; 1.723650e+09; 2.567730e+09
bin/cuda; 1000; 1000; 5.208000e-03; 1.123300e-02; 1.726959e+09; 2.219362e+09
bin/cuda; 1000; 1000; 5.198000e-03; 9.512000e-03; 1.730282e+09; 2.620910e+09
bin/cuda; 1000; 1000; 5.194000e-03; 1.012000e-02; 1.731614e+09; 2.463448e+09
bin/cuda; 1000; 1000; 5.194000e-03; 9.521000e-03; 1.731614e+09; 2.618432e+09
bin/cuda; 10000; 10000; 2.215770e-01; 5.703660e-01; 4.061523e+09; 4.381923e+09
bin/cuda; 10000; 10000; 2.008410e-01; 5.237290e-01; 4.480858e+09; 4.772125e+09
bin/cuda; 10000; 10000; 1.968240e-01; 5.183710e-01; 4.572308e+09; 4.821450e+09
bin/cuda; 10000; 10000; 1.855430e-01; 5.300450e-01; 4.850304e+09; 4.715260e+09
bin/cuda; 10000; 10000; 1.874890e-01; 5.189080e-01; 4.799962e+09; 4.816461e+09
bin/cuda; 10000; 10000; 1.956030e-01; 5.231040e-01; 4.600850e+09; 4.777826e+09
bin/cuda; 10000; 10000; 2.001700e-01; 5.287810e-01; 4.495879e+09; 4.726532e+09
bin/cuda; 10000; 10000; 1.971010e-01; 5.195350e-01; 4.565882e+09; 4.810648e+09
bin/cuda; 10000; 10000; 2.005790e-01; 5.204290e-01; 4.486711e+09; 4.802384e+09
bin/cuda; 10000; 10000; 1.878570e-01; 5.179820e-01; 4.790559e+09; 4.825071e+09
bin/cuda; 10000; 10000; 1.968350e-01; 5.301280e-01; 4.572053e+09; 4.714522e+09
bin/cuda; 10000; 10000; 1.858890e-01; 5.203720e-01; 4.841276e+09; 4.802910e+09
bin/cuda; 10000; 10000; 1.874630e-01; 5.339900e-01; 4.800627e+09; 4.680425e+09
bin/cuda; 10000; 10000; 1.898840e-01; 5.316120e-01; 4.739420e+09; 4.701361e+09
bin/cuda; 10000; 10000; 1.884410e-01; 5.183410e-01; 4.775712e+09; 4.821730e+09
bin/cuda; 10000; 10000; 1.967170e-01; 5.280940e-01; 4.574795e+09; 4.732680e+09
bin/cuda; 10000; 10000; 1.964410e-01; 5.216990e-01; 4.581223e+09; 4.790694e+09
bin/cuda; 10000; 10000; 1.929920e-01; 5.231230e-01; 4.663095e+09; 4.777653e+09
bin/cuda; 10000; 10000; 1.859570e-01; 5.186960e-01; 4.839506e+09; 4.818429e+09
bin/cuda; 10000; 10000; 2.011220e-01; 5.171590e-01; 4.474598e+09; 4.832750e+09
bin/cuda; 32000; 32000; 2.431680e+00; 5.794512e+00; 3.789893e+09; 4.417587e+09
bin/cuda; 32000; 32000; 2.202477e+00; 5.742295e+00; 4.184293e+09; 4.457758e+09
bin/cuda; 32000; 32000; 2.263064e+00; 5.627133e+00; 4.072270e+09; 4.548988e+09
bin/cuda; 32000; 32000; 2.240471e+00; 5.862315e+00; 4.113335e+09; 4.366493e+09
bin/optimized; 32000; 32000; 1.787867e+00; 3.761352e+00; 5.154638e+09; 6.805468e+09
bin/optimized; 32000; 32000; 2.015795e+00; 3.393758e+00; 4.571798e+09; 7.542600e+09
bin/optimized; 32000; 32000; 1.788970e+00; 3.372816e+00; 5.151460e+09; 7.589433e+09
bin/optimized; 32000; 32000; 1.789691e+00; 3.729183e+00; 5.149385e+09; 6.864174e+09
